morpheme_es,morpheme_en,concept,compositional_concept,pos,semantic_gender,syntactic_gender_es,type,tense,aspect,number,inactive,is_cognate,is_false_friend,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
.,.,,,.,,,,,,,,,,,,,
la,the,,,det,,F,def,,,,,,,,,,
el,the,,,det,,M,def,,,,,,,,,,
una,a,,,det,,F,indef,,,,,,,,,,
un,a,,,det,,M,indef,,,,,,,,,,
él,he,,,pron,,M,subject,,,,,,,,,,
ella,she,,,pron,,F,subject,,,,,,,,,,
hombre,man,MAN,HUMAN,noun,M,M,,,,,,,,,,,
niño,boy,BOY,CHILD,noun,M,M,,,,,,,,,,,
padre,father,FATHER,PARENT,noun,M,M,,,,,,,,,,,
hermano,brother,BROTHER,SIBLING,noun,M,M,,,,,,,,,,,
abuelo,grandfather,GRANDFATHER,GRANDPARENT,noun,M,M,,,,,,,,,,,
tío,uncle,UNCLE,UNCLES,noun,M,M,,,,,,,,,,,
anfitrión,host,HOST,HOST,noun,M,M,,,,,,,,,,,
camarero,waiter,WAITER,WAITER,noun,M,M,,,,,,,,,,,
señor,gentleman,GENTLEMAN,GENTLEMAN,noun,M,M,,,,,,,,,,,
perro,dog,DOG,DOG,noun,M,M,,,,,,,,,,,
mujer,woman,WOMAN,HUMAN,noun,F,F,,,,,,,,,,,
niña,girl,GIRL,CHILD,noun,F,F,,,,,,,,,,,
madre,mother,MOTHER,PARENT,noun,F,F,,,,,,,,,,,
hermana,sister,SISTER,SIBLING,noun,F,F,,,,,,,,,,,
abuela,grandmother,GRANDMOTHER,GRANDPARENT,noun,F,F,,,,,,,,,,,
tía,aunt,AUNT,UNCLES,noun,F,F,,,,,,,,,,,
anfitriona,hostess,HOSTESS,HOST,noun,F,F,,,,,,,,,,,
señora,lady,LADY,LADY,noun,F,F,,,,,,,,,,,
camarera,waitress,WAITRESS,WAITER,noun,F,F,,,,,,,,,,,
gata,cat,CAT,CAT,noun,F,F,,,,,,,,,,,
bolígrafo,pen,PEN,PEN,noun,,M,,,,,,,,,,,
libro,book,BOOK,BOOK,noun,,M,,,,,,,,,,,
juguete,toy,TOY,TOY,noun,,M,,,,,,,,,,,
pelota,ball,BALL,BALL,noun,,F,,,,,,,,,,,
llave,key,KEY,KEY,noun,,F,,,,,,,,,,,
silla,chair,CHAIR,CHAIR,noun,,F,,,,,,,,,,,
inteligente,intelligent,INTELLIGENT,INTELLIGENT,adj,M-F,M-F,,,,,,,,,,,
amable,kind,KIND,KIND,adj,M-F,M-F,,,,,,,,,,,
feliz,happy,HAPPY,HAPPY,adj,M-F,M-F,,,,,,,,,,,
triste,sad,SAD,SAD,adj,M-F,M-F,,,,,,,,,,,
alto,tall,TALL,TALL,adj,M,M,,,,,,,,,,,
alta,tall,TALL,TALL,adj,F,F,,,,,,,,,,,
pequeño,short,SHORT,SHORT,adj,M,M,,,,,,,,,,,
pequeña,short,SHORT,SHORT,adj,F,F,,,,,,,,,,,
cansado,tired,TIRED,TIRED,adj,M,M,,,,,,,,,,,
cansada,tired,TIRED,TIRED,adj,F,F,,,,,,,,,,,
ocupado,busy,BUSY,BUSY,adj,M,M,,,,,,,,,,,
ocupada,busy,BUSY,BUSY,adj,F,F,,,,,,,,,,,
tranquilo,calm,CALM,CALM,adj,M,M,,,,,,,,,,,
tranquila,calm,CALM,CALM,adj,F,F,,,,,,,,,,,
atento,focused,FOCUSED,FOCUSED,adj,M,M,,,,,,,,,,,
atenta,focused,FOCUSED,FOCUSED,adj,F,F,,,,,,,,,,,
está,is,BE,BE,verb,,,copular,present,,,,,,,,,
tiene,has,HAS,HAS,verb,,,possession,present,,,,,,,,,
está,is,,,aux,,,auxiliary_verb,present,progressive,singular,,,,,,,
ha,has,,,aux,,,auxiliary_verb,present,perfect,singular,,,,,,,
tenía,had,HAS,HAS,verb,,,trans,past,,,,,,,,,
nada,swims,SWIM,SWIM,verb,,,intrans,present,,3rd_singular,,,,,,,
salta,jumps,JUMP,JUMP,verb,,,intrans,present,,3rd_singular,,,,,,,
camina,walks,WALK,WALK,verb,,,intrans,present,,3rd_singular,,,,,,,
corre,runs,RUN,RUN,verb,,,intrans,present,,3rd_singular,,,,,,,
llega,arrives,ARRIVE,ARRIVE,verb,,,intrans,present,,3rd_singular,,,,,,,
estornuda,sneezes,SNEEZE,SNEEZE,verb,,,intrans,present,,3rd_singular,,,,,,,
muere,dies,DIE,DIE,verb,,,intrans,present,,3rd_singular,,,,,,,
come,eats,EAT,EAT,verb,,,intrans,present,,3rd_singular,,,,,,,
empuja,pushes,PUSH,PUSH,verb,,,trans,present,,3rd_singular,,,,,,,
patea,kicks,KICK,KICK,verb,,,trans,present,,3rd_singular,,,,,,,
lleva,carries,CARRY,CARRY,verb,,,trans,present,,3rd_singular,,,,,,,
da,gives,GIVE,GIVE,verb,,,trans,present,,3rd_singular,,,,,,,
tira,throws,THROW,THROW,verb,,,trans,present,,3rd_singular,,,,,,,
muestra,shows,SHOW,SHOW,verb,,,trans,present,,3rd_singular,,,,,,,
nadó,swam,SWIM,SWIM,verb,,,intrans,past,,3rd_singular,,,,,,,
saltó,jumped,JUMP,JUMP,verb,,,intrans,past,,3rd_singular,,,,,,,
caminó,walked,WALK,WALK,verb,,,intrans,past,,3rd_singular,,,,,,,
corrió,ran,RUN,RUN,verb,,,intrans,past,,3rd_singular,,,,,,,
llegó,arrived,ARRIVE,ARRIVE,verb,,,intrans,past,,3rd_singular,,,,,,,
estornudó,sneezed,SNEEZE,SNEEZE,verb,,,intrans,past,,3rd_singular,,,,,,,
murió,died,DIE,DIE,verb,,,intrans,past,,3rd_singular,,,,,,,
comió,ate,EAT,EAT,verb,,,intrans,past,,3rd_singular,,,,,,,
empujó,pushed,PUSH,PUSH,verb,,,trans,past,,3rd_singular,,,,,,,
pateó,kicked,KICK,KICK,verb,,,trans,past,,3rd_singular,,,,,,,
llevó,carried,CARRY,CARRY,verb,,,trans,past,,3rd_singular,,,,,,,
dio,gave,GIVE,GIVE,verb,,,trans,past,,3rd_singular,,,,,,,
tiró,throwed,THROW,THROW,verb,,,trans,past,,3rd_singular,,,,,,,
mostró,showed,SHOW,SHOW,verb,,,trans,past,,3rd_singular,,,,,,,
nadando,swimming,SWIM,SWIM,participle,,,intrans,,progressive,,,,,,,,
saltando,jumping,JUMP,JUMP,participle,,,intrans,,progressive,,,,,,,,
caminando,walking,WALK,WALK,participle,,,intrans,,progressive,,,,,,,,
corriendo,running,RUN,RUN,participle,,,intrans,,progressive,,,,,,,,
llegando,arriving,ARRIVE,ARRIVE,participle,,,intrans,,progressive,,,,,,,,
estornudando,sneezing,SNEEZE,SNEEZE,participle,,,intrans,,progressive,,,,,,,,
muriendo,dying,DIE,DIE,participle,,,intrans,,progressive,,,,,,,,
comiendo,eating,EAT,EAT,participle,,,intrans,,progressive,,,,,,,,
empujando,pushing,PUSH,PUSH,participle,,,trans,,progressive,,,,,,,,
pateando,kicking,KICK,KICK,participle,,,trans,,progressive,,,,,,,,
llevando,carrying,CARRY,CARRY,participle,,,trans,,progressive,,,,,,,,
dando,giving,GIVE,GIVE,participle,,,trans,,progressive,,,,,,,,
tirando,throwing,THROW,THROW,participle,,,trans,,progressive,,,,,,,,
mostrando,showing,SHOW,SHOW,participle,,,trans,,progressive,,,,,,,,
nadado,swum,SWIM,SWIM,participle,,,intrans,,perfect,,,,,,,,
saltado,jumped,JUMP,JUMP,participle,,,intrans,,perfect,,,,,,,,
caminado,walked,WALK,WALK,participle,,,intrans,,perfect,,,,,,,,
corrido,run,RUN,RUN,participle,,,intrans,,perfect,,,,,,,,
llegado,arrived,ARRIVE,ARRIVE,participle,,,intrans,,perfect,,,,,,,,
estornudado,sneezed,SNEEZE,SNEEZE,participle,,,intrans,,perfect,,,,,,,,
muerto,died,DIE,DIE,participle,,,intrans,,perfect,,,,,,,,
comido,eaten,EAT,EAT,participle,,,intrans,,perfect,,,,,,,,
empujado,pushed,PUSH,PUSH,participle,,,trans,,perfect,,,,,,,,
pateado,kicked,KICK,KICK,participle,,,trans,,perfect,,,,,,,,
llevado,carried,CARRY,CARRY,participle,,,trans,,perfect,,,,,,,,
dado,given,GIVE,GIVE,participle,,,trans,,perfect,,,,,,,,
tirado,thrown,THROW,THROW,participle,,,trans,,perfect,,,,,,,,
mostrado,shown,SHOW,SHOW,participle,,,trans,,perfect,,,,,,,,
